,type,category,review,star,date,option,0,1,2
60,헤트라스,별점,종이에 온향이 좋네요 향선택실패 ㅠ,평점3,22.06.08.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 퓨어다우니 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 퓨어다우니 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
61,헤트라스,별점,스틱이 누락되었지만 배송 받았어요,평점3,22.06.22.,수량 선택: 2개입 / 향 선택: 블랙체리 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 블랙체리 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
62,헤트라스,별점,"향 과 짐승양에 반했답니다
강추해요",평점3,21.11.21.,수량 선택: 2개입 / 향 선택: 그레이프프루트 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 그레이프프루트 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
63,헤트라스,별점,생각보다발향은좀만족스럽지않네요,평점3,22.07.29.,수량 선택: 2개입 / 향 선택: 북스토어 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 북스토어 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
64,헤트라스,별점,집에서 가볍게.쓰려고 주문했습니다,평점3,21.07.27.,수량 선택: 2개입 / 향 선택: 허그솝 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 허그솝 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
65,헤트라스,별점,향이 좀 약하지만 가성비 좋습니다.,평점3,21.08.15.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 블랙체리 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 블랙체리 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
66,헤트라스,별점,"향이 예전에 비해 약해졌다고 해야하나요
집에 들어가도
향이 나는줄 모르겠어요",평점3,22.07.07.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 그레이프프루트 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 그레이프프루트 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
67,헤트라스,별점,양도 많고 저렴하고 그냥 좋습니다,평점3,22.05.09.,수량 선택: 2개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,수량 선택: 2개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
68,헤트라스,별점,향이 은은해요 배송은 빨랐습니다,평점3,22.08.21.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 제주사려니숲길 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 제주사려니숲길 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
69,헤트라스,별점,향은 좋은데 오래가지는 않아요,평점3,22.09.30.,대용량 디퓨저 수량 선택: 2개입 / 향 선택: 플라워샵 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 수량 선택: 2개입 , 향 선택: 플라워샵 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
70,헤트라스,별점,양도 많고 저렴해서 좋았습니다,평점3,22.05.09.,대용량 디퓨저 선택: 5개입 / 향 선택: 1. 블랙세트 5개입 / 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.,대용량 디퓨저 선택: 5개입 , 향 선택: 1. 블랙세트 5개입 , 3만원 이상 무료배송: 주문 금액 3만원 미만 시 적용되지 않습니다.
